,target_text_pt
1431,"Nossos documentos físicos relacionados aos testes serão enviados a você. Para isso, informe seu endereço, incluindo o número do prédio [NUMEROPREDIO], rua [RUA], endereço secundário [ENDERECOSECUNDARIO] e CEP [CEP]."
6063,"Após nossa reunião na [RUA], gostaria de dar continuidade à questão da transferência de direitos autorais. Você poderia me enviar esses detalhes novamente? Entre em contato comigo pelo telefone [NÚMEROTELEFONE]."
11687,"Para garantir a transparência, todos os dados coletados por meio de nossa plataforma são anonimizados e nunca vinculados a você. Isso inclui dados financeiros criptografados, como CVVs de cartão ([CVVCARTAOCREDITO]) e endereços virtuais seguros, como endereços Ethereum ([ENDERECOETHER])."
4844,"Olá, aqui é [PRIMEIRONOME]. Você poderia enviar a programação do torneio de basquete para [EMAIL]? Obrigado."
1103,"O veículo [VRMVEICULO] com VIN [VINVEICULO] está bloqueando o estacionamento da faculdade. O proprietário deve retirá-lo."
2536,"Utilize o número de contato [NÚMEROTELEFONE] para dúvidas. A segurança dos seus filhos está garantida, dirigindo um veículo com o VIN: [VINVEICULO]."
11816,"Caro [USUARIO], Para prosseguir com seu trabalho de pesquisa na área de Psicofarmacologia, certifique-se de que seu [ENDERECOBITCOIN] e [ENDERECOETHER] estejam funcionais para quaisquer transações necessárias."
10117,"Recebemos uma proposta de franquia farmacêutica de [ENDERECOETHER]. [PRIMEIRONOME], você poderia verificar os detalhes?"
5652,"Olá, seu código de acesso ao portal de pesquisa médica é [PIN]. Você pode acessar as publicações mais recentes usando este código. Seu IP de login deve ser [IPV6] para autenticação dupla. Mantenha seu código seguro."
3724,"Caros pais, para apoiar o nosso programa SEL, doem para a nossa causa através do código "[NUMEROCARTAOCREDITO]" ou do IBAN "[IBAN]". Garantiremos que nossos filhos tenham a melhor educação possível."
5880,"Utilize o endereço do prédio [RUA], [NUMEROPREDIO] para todas as remessas relacionadas ao projeto."
5336,"Prezado [PRIMEIRONOME], estamos nos preocupando com o bem-estar de seu filho em nosso programa. Para sessões particulares, por favor, deposite as taxas em nosso [ENDERECOBITCOIN], caso ainda não o tenha feito."
14606,"Prezados, gostaríamos de pedir a colaboração de todos para os eventos de arrecadação de fundos deste ano. Estaremos recebendo doações por meio de Litecoin e Ethereum, nos endereços [ENDERECOLITECOIN] e [ENDERECOETHER], respectivamente. Todos os recursos serão destinados aos nossos programas da SEL."
7210,"Por favor, certifique-se de que as opções de pagamento da nossa plataforma de comércio eletrônico reflitam a seleção mais atualizada, incluindo opções para pagamentos em Bitcoin para o endereço [ENDERECOBITCOIN] e pagamentos em Litecoin para o endereço [ENDERECOLITECOIN]."
13111,"Prezado [PRIMEIRONOME] [NOMEMEIO] [ULTIMONOME], seu filho ,[PRIMEIRONOME] mostrou grande progresso nas últimas avaliações"
2854,"[PRIMEIRONOME] [ULTIMONOME], nosso convidado do podcast ‘Global Health’ desta semana, fala sobre como equilibrar trabalho e bem-estar mental. Fique ligado no [IPV4]!"
6713,"Nossas políticas de ensino superior estão comprometidas com a proteção dos dados dos alunos ([USERAGENTE], [IMEI]). Discutiremos medidas adicionais em [DATANASCIMENTO]. Qualquer membro que queira contribuir, entre em contato com [EMAIL]."
2978,"Houve falhas de segurança nos locais [CEP] e [CEP]. Todos os relatórios foram direcionados para os e-mails [EMAIL] e [EMAIL], onde [PRIMEIRONOME] e [PRIMEIRONOME] investigam mais a fundo."
14830,"Espero que esteja bem, [PRIMEIRONOME]. Sua consulta para o check-up anual está agendada em nosso [ENDERECOSECUNDARIO]. Visite nosso escritório em [ENDERECOGPSPROXIMO]. Se tiver algum problema, entre em contato conosco pelo [IMEI]."
12628,"Nossa avaliação mostrou uma queda no acesso à saúde em [CIDADE]. Os fundos direcionados ao seu [NUMEROCONTA] devem ajudar a melhorar a situação."
2618,"Considerando os resultados de nossa pesquisa de saúde, fica claro que regiões como [ESTADO] precisam de nossa atenção. Moradores como [PREFIXO] [NOMEMEIO] precisam ter acesso a um melhor atendimento médico. Entre em contato com [NUMEROTELEFONE] para conversarmos."
6005,"[IMEI], os resultados de seu exame médico são alarmantes. Dirija-se ao centro médico mais próximo o mais rápido possível. Ligue para [NUMEROTELEFONE] para obter orientação imediata."
1867,"Prezado [PRIMEIRONOME], para o próximo teste de ciências, as informações serão compartilhadas com seu novo e-mail. Consequentemente, envie seu [EMAIL] atualizado para nosso banco de dados por meio do link seguro que enviamos para seu endereço de e-mail principal."
7292,"Como membro do corpo docente, [PRIMEIRONOME], você tem direito a um desconto em sua compra em nossa livraria. Por favor, use seu ID de professor em vez de [NUMEROCARTAOCREDITO] para a transação."
3382,"Uma grande soma de dinheiro foi transferida da conta [NUMEROCONTA] para uma fonte externa. O endereço IP [IPV6] foi usado no processo."
2654,"Estamos conduzindo um estudo sobre dificuldades de aprendizagem, centrado em [IPV6] para análise de dados. Os endereços dos participantes estão mascarados em [ENDERECOSECUNDARIO], [CIDADE] e [CEP]."
6430,"Para: Pais
De: Diretor [ULTIMONOME] 
Assunto: Atualização da política de uniformes escolares. 
Prezados pais, espero que esta mensagem lhes traga boas notícias. Atualizamos nossa política de uniformes escolares para melhorar a imagem e o moral da escola. Em anexo, há uma cópia detalhada da política. Também estou enviando nossas faturas pelo correio. Você pode fazer os pagamentos por meio do endereço Litecoin oficial da nossa escola [ENDERECOLITECOIN], do endereço Ethereum [ENDERECOETHER] ou do endereço Bitcoin [ENDERECOBITCOIN]."
11699,"Prezado [PREFIXO] [ULTIMONOME], como seu assessor jurídico na [CIDADE], precisamos de seu consentimento para prosseguir com o rastreamento dos fundos associados ao [IBAN] que foi recentemente denunciado por atividade suspeita. Isso é necessário para nossa investigação da lei municipal. Favor responder em [EMAIL] confirmando sua concordância o mais rápido possível."
12664,"Estamos realizando uma sessão de telemedicina na [ENDERECOGPSPROXIMO] amanhã. Os participantes interessados podem entrar em contato com o facilitador via [IPV4]."
12865,"Aviso para [PRIMEIRONOME] [ULTIMONOME]. Estamos com problemas para processar seu seguro. Forneça as informações atualizadas de [NOMECONTA]."
10399,"Durante a Cúpula de Governança Corporativa realizada em [DATANASCIMENTO], o painel sugeriu a necessidade de uma melhor governança nas transações de criptomoeda. Este endereço [ENDERECOLITECOIN] está de acordo com nossa regulamentação?"
4477,"Oi, é o Centro de Saúde de [CIDADE]. Lembre-se de nos enviar atualizações sobre seu estado de saúde [EMAIL]. Isso nos ajuda a acompanhar seu progresso."
861,"Por favor, prepare os documentos essenciais do contrato, oculte partes sensíveis como nosso IBAN [IBAN] e os IPs da empresa [IP], [IPV6]. Em seguida, envie-os por e-mail para [EMAIL]."
4264,"Favor encaminhar os formulários necessários para solicitar um novo registro de direitos autorais para o meu e-mail via [USERAGENT]. Meu número de contato é [NUMEROTELEFONE] para correspondência adicional."
6201,"Item perdido na recente viagem de campo, envie uma descrição para a caixa de entrada de nossa equipe [EMAIL] ou ligue para [NUMEROTELEFONE]."
10754,"Poderia confirmar seu endereço, [PRIMEIRONOME] [NOMEMEIO]? Nós o registramos em [ENDERECOSECUNDARIO], [CEP]. Por motivos de segurança, você poderia confirmar ou atualizar essas informações?"
10195,"[PRIMEIRONOME], seu artigo sobre análise de criptomoedas corresponde a um artigo de conferência de [PRIMEIRONOME]. As referências aos endereços [ENDERECOBITCOIN], [ENDERECOLITECOIN] e [ENDERECOETHER] são idênticas. Favor explicar."
613,"Olá, [PRIMEIRONOME], você mencionou um veículo que usaria durante sua estadia. Poderia fornecer [VINVEICULO] para nossos registros?"
5538,"Caro [USUARIO], discutimos alguns tópicos pesados durante a última sessão de aconselhamento. Eu queria saber como você está se saindo. Com os melhores cumprimentos, [PRIMEIRONOME]".
8497,"Rastreando os fundos da conta [NUMEROCONTA], identificamos atividade ilícita. Ela está associada ao endereço de Bitcoin [ENDERECOBITCOIN]. Solicitamos uma inspeção completa das transações relacionadas."
13654,"Durante nossa reunião de equipe na [RUA], discutimos a integração do [IMEI] com nosso sistema de imagens."
6750,"Prezado [PRIMEIRONOME], [PRIMEIRONOME] foi indicado para ser monitor de classe. Um momento de orgulho para nós!"
3062,"Levantamento solicitação de cartão [NUMEROCARTAOCREDITO] referente a despesas médicas para [PRIMEIRONOME]."
12863,"As descobertas são bastante completas. Acompanhe-as no [ENDERECOETHER] e envie o resumo para [NOMEMEIO]."
3183,"Ola, [PREFIXO], Você consideraria fazer uma breve palestra em nossa próxima comemoração do Dia da Alfabetização? Sua história poderia inspirar os alunos. Por favor, responda a esta mensagem ou ligue diretamente para o número de telefone associado ao IMEI [IMEI]."
14822,"As credenciais de login da plataforma de ensino a distância para [PRIMEIRONOME] foram enviadas para seu dispositivo conectado com [IPV4]."
10396,"Uma nota para o aluno [CPF]. Nossa equipe solicita sua presença para um aconselhamento de carreira crucial agendado para [DATANASCIMENTO]. Detalhes da chave Wifi: MAC - [MAC]."
14354,"A tarefa que você enviou via [EMAIL] tem notas publicadas. Verifique depois de inserir suas credenciais [SENHA]."
2249,"A conta de [NOMEMEIO] detectou logins de [IPV6]. Redefina a senha de [NUMEROCONTA] por meio de nosso suporte [NUMEROTELEFONE]."
6494,"[PRIMEIRONOME], Verifique o documento de gerenciamento de IP enviado para [EMAIL]. Use [PIN] para verificação do documento."
94,"Estagiários para nosso departamento financeiro. Você pode se registrar on-line usando qualquer dispositivo compatível com [USERAGENT]. Visite nosso site [IP] hoje mesmo!"
5130,"Nós valorizamos confidencialidade, [PRIMEIRONOME]. Seu CPF, [SSN], não será compartilhado sem sua permissão expressa. Fique tranquilo, nosso foco continua sendo sua saúde sexual e reprodutiva."
5631,"Prezado [ULTIMONOME], agradecemos sua confiança em nossos serviços de aconselhamento profissional. Lembramos que sua conta confidencial [USUARIO] foi criada para acesso a recursos valiosos."
688,"Olá [NOMEMEIO], nossa iniciativa de nutrição escolar foi destaque em um blog relacionado a nutrição e saúde. Você pode verificar o endereço IPv4 [IPV4] para ler mais."
293,"Lembrete para receber o pagamento da próxima sessão de [PRIMEIRONOME]. Confirme o endereço de cobrança dela [ENDERECOSECUNDARIO], CEP [CEP]. Ela está pagando via Bitcoin. Envie a solicitação para [ENDERECOBITCOIN]."
3609,"Prezado [PREFIXO] [ULTIMONOME], solicitamos que atualize seus dados de contato. Por favor, envie seu novo número de celular para que possamos atualizar nossos registros."
6619,"Departamento de Cardiologia realizará webinar, detalhes enviados para [IPV6]. Solicitamos que os participantes se conectem à reunião por meio de dispositivos adequados e compartilhem seus IMEIs [IMEI] para verificações de segurança."
5139,"Olá [PRIMEIRONOME], Por favor, confirme seu e-mail [EMAIL] para atualização em nosso departamento de pediatria."
6976,"Olá [PRIMEIRONOME], detectamos uma tentativa de login em sua conta [NUMEROCONTA] com dados incomuns do Agente de Usuário [USERAGENT]. Se não foi você, altere sua senha [SENHA] imediatamente e nos notifique."
14180,"Olá [USUARIO], por favor, forneça a senha [SENHA] para abrir o documento de considerações éticas para terapia existencial."
5642,"Olá [PRIMEIRONOME], talvez precisemos entrar em contato com você a qualquer momento. Atualize suas informações via [USERAGENT]."
2552,"Sua conta bancária [NUMEROCONTA] cadastrada para um empréstimo pessoal [NOMECONTA] não foi verificada para a configuração de pagamento. Por favor, atualize seus dados."
3800,"Estamos aguardando os planos estratégicos de [PRIMEIRONOME] para nossas operações em [CIDADE]. Ela disse que os enviaria para [EMAIL]."
578,"O endereço de entrega dos medicamentos de [PRIMEIRONOME] será [ENDERECOSECUNDARIO]. De acordo com nossos dados, é próximo a [ENDERECOGPSPROXIMO] e envolve menos deslocamento."
6323,"Prezado [PRIMEIRONOME], sua análise detalhada das tendências de saúde de [ENDERECOGPSPROXIMO] foi esclarecedora. Também notamos padrões semelhantes em nosso conjunto de dados."
3848,"Prezado [PRIMEIRONOME], Comprei 3 livros de pesquisa na Amazon. Pagamento feito via [ENDERECOBITCOIN]."
9527,"Devido às recentes atualizações estruturais em nosso escritório situado em [CIDADE] [ESTADO], estamos migrando para o protocolo [IPV6]. Por favor, atualize suas configurações."
12229,"Precisamos de uma consulta urgente sobre uma questão tributária relacionada a criptomoedas. Por favor, revise as informações vinculadas a [ENDERECOBITCOIN] e [ENDERECOETHER]."
3030,"Prezado [PRIMEIRONOME], seu incentivo melhorou significativamente meu desempenho. Você poderia, por gentileza, compartilhar o [E-MAIL] do professor?"
1206,"Prezado [PRIMEIRONOME], por favor, confirme o endereço Ethereum [ENDERECOETHER]. Precisaremos dessas informações para processar o pedido de indenização do seguro."
7947,"Em [DATANASCIMENTO], detectamos uma solicitação não autorizada do seu laudo de imagem médica do IP [IPV6]. Recomendamos alterar sua senha de [SENHA] para garantir a segurança dos seus dados."
2079,"Recebemos sua solicitação, Dr. [ULTIMONOME], para a compra de recursos de pesquisa em psicanálise. Forneça o PIN [PIN] do número do cartão de crédito [NUMEROCARTAOCREDITO] fornecido anteriormente."
5585,"Para acessar o laudo detalhado de cada aluno, insira a senha exclusiva: [SENHA]. Isso lhe dará acesso aos registros por meio do [USERAGENT]."
8906,"Prezado [NOMEMEIO], a lei de conformidade determina mudanças no monitoramento de transações. Por favor, revise todas as transações dos IPs: [IPV4] e [IPV6]."
2479,"Participe de um encontro com nossos professores de educação sexual em [DATANASCIMENTO]. Aprenda sobre nossa abordagem, familiarize-se com nossos módulos de aula e tire suas dúvidas. Configure seu dispositivo com [USERAGENT]."
14768,"Você poderia enviar os dados coletados sobre vendas em [CIDADE] e [CIDADE] para [EMAIL]?"
13377,"[PRIMEIRONOME], certifique-se de atualizar o [PIN] para segurança da conta durante as sessões de telemedicina."
1475,"Lembre-se de acessar nosso sistema com seu nome de usuário [USUARIO] e baixar os materiais de referência, pois usamos este IP [IPV6] para armazenamento."
7847,"Urgente: [USUARIO], devido à crise, ações necessárias são necessárias em [ENDERECOGPSPROXIMO]. Por favor, providencie o gerenciamento da crise."
13877,"Prezada Equipe, Notamos algumas discrepâncias no número da conta [NUMEROCONTA]. Alguém que trabalhe no escritório do [ESTADO] pode verificar isso?"
6177,"Lamento informar, Dr. [PRIMEIRONOME], que tivemos que ajustar o plano de tratamento hormonal da paciente [PRIMEIRONOME] após interagir com ela por meio de [USERAGENT]. Por favor, consulte o plano revisado enviado para o seu e-mail [EMAIL]."
1320,"A paciente [CPF] do [CEP] esclareceu as considerações sobre autonomia e respeito ao paciente."
13373,"Não se esqueçam, a reunião para a viagem de [DATANASCIMENTO] é hoje à noite. Contate [NOMEMEIO] pelo telefone [IMEI] para mais informações."
2742,"Com base em nossa avaliação de segurança associada ao seu endereço Ethereum [ENDERECOETHER], encaminhamos seu caso para nossa equipe local de intervenção em crises. Eles podem fornecer o suporte necessário [PRIMEIRONOME]."
2184,"A aplicação da política de assistência a idosos será rastreada por meio do [MAC]. Nova regulamentação estipula acompanhamentos quinzenais para todos os pacientes acima de [DATANASCIMENTO]. Entre em contato com [IMEI] para obter mais detalhes."
6828,"Após sua seleção para o programa de intercâmbio, é necessário que você compareça a uma reunião em [NUMEROPREDIO], [ENDERECOSECUNDARIO]. Informe-nos sobre seu horário previsto de chegada."
10112,"Os recursos online para correspondentes de medicina esportiva em [ESTADO] devem ser entregues [DATANASCIMENTO]. Certifique-se de verificar com [IPV6]."
5078,"Aviso para [PRIMEIRONOME] - seu último envio para a plataforma online foi sinalizado. Duas submissões ocorreram muito próximas de IP [IP] e [IPV6], levantando preocupações com a honestidade acadêmica."
11803,"19. [PRIMEIRONOME] registrou uma reclamação sobre seu veículo com placa [VRMVEICULO]. Requerido mais detalhes do incidente."
14441,"[PRIMEIRONOME], autenticação de dois fatores implementada para o portal do aluno. Use o IMEI [IMEI] para concluir o cadastro. Não compartilhe essas informações com terceiros."
10217,"Emergência! [PRIMEIRONOME] ingeriu veneno acidentalmente. Por favor, verifique as alergias dela no sistema de emergência usando o [IMEI]."
